"id","name","specialization","department_id","created_at"
"DOC-01","dr. Jungwon","Cardiologist Specialist","DEP-01","2026-05-18 22:34:30"
"DOC-02","dr. Heeseung","Orthopedic Surgeon","DEP-02","2026-05-18 22:34:30"
"DOC-03","dr. Yeonjun","Trauma & Emergency Specialist","DEP-03","2026-05-18 22:34:30"
"DOC-04","dr. Jay","Neurologist Consultant","DEP-04","2026-05-18 22:34:30"
"DOC-05","dr. Jake","Pulmonologist Specialist","DEP-05","2026-05-18 22:34:30"
"DOC-06","dr. Beomgyu","Gastroenterology Consultant","DEP-06","2026-05-18 22:34:30"
"DOC-07","dr. Sunghoon","Pediatrician","DEP-07","2026-05-18 22:34:30"
"DOC-08","dr. Taehyun","General Surgeon Specialist","DEP-08","2026-05-18 22:34:30"
"DOC-09","dr. Sunoo","Urologist Specialist","DEP-09","2026-05-18 22:34:30"
"DOC-10","dr. Huening Kai","Otolaryngologist (ENT)","DEP-10","2026-05-18 22:34:30"
